regulon,regulator,regulator locus tag,mode,gene,locus tag
PerR Regulon,PerR,BSU_08730,repression,ahpC,BSU_40090
PerR Regulon,PerR,BSU_08730,repression,hemD,BSU_28140
PerR Regulon,PerR,BSU_08730,activation,srfAC,BSU_03510
PerR Regulon,PerR,BSU_08730,repression,hemB,BSU_28130
PerR Regulon,PerR,BSU_08730,repression,hemX,BSU_28160
PerR Regulon,PerR,BSU_08730,repression,spx,BSU_11500
PerR Regulon,PerR,BSU_08730,repression,katA,BSU_08820
PerR Regulon,PerR,BSU_08730,repression,hemC,BSU_28150
PerR Regulon,PerR,BSU_08730,repression,mrgA,BSU_32990
PerR Regulon,PerR,BSU_08730,transcription repression,ymaB,BSU_17400
PerR Regulon,PerR,BSU_08730,transcription repression,nrdI,BSU_17370
PerR Regulon,PerR,BSU_08730,activation,srfAB,BSU_03490
PerR Regulon,PerR,BSU_08730,activation,srfAD,BSU_03520
PerR Regulon,PerR,BSU_08730,repression,hemL,BSU_28120
PerR Regulon,PerR,BSU_08730,repression,hemA,BSU_28170
PerR Regulon,PerR,BSU_08730,repression,pfeT,BSU_13850
PerR Regulon,PerR,BSU_08730,activation,comS,BSU_03500
PerR Regulon,PerR,BSU_08730,activation,srfAA,BSU_03480
PerR Regulon,PerR,BSU_08730,transcription repression,nrdE,BSU_17380
PerR Regulon,PerR,BSU_08730,repression,perR,BSU_08730
PerR Regulon,PerR,BSU_08730,repression,spx,BSU_11500
PerR Regulon,PerR,BSU_08730,repression,yjbC,BSU_11490
PerR Regulon,PerR,BSU_08730,repression,fur,BSU_23520
PerR Regulon,PerR,BSU_08730,transcription repression,nrdF,BSU_17390
PerR Regulon,PerR,BSU_08730,repression,ahpF,BSU_40100
SpoVT Regulon,SpoVT,BSU_00560,repression,ykoT,BSU_13390
SpoVT Regulon,SpoVT,BSU_00560,repression,gdh,BSU_03930
SpoVT Regulon,SpoVT,BSU_00560,activation,yteA,BSU_30840
SpoVT Regulon,SpoVT,BSU_00560,activation,lysA,BSU_23380
SpoVT Regulon,SpoVT,BSU_00560,repression,spoIIP,BSU_25530
SpoVT Regulon,SpoVT,BSU_00560,repression,gerAC,BSU_33070
SpoVT Regulon,SpoVT,BSU_00560,activation,sspA,BSU_29570
SpoVT Regulon,SpoVT,BSU_00560,repression,glcU,BSU_03920
SpoVT Regulon,SpoVT,BSU_00560,activation,ylyA,BSU_15440
SpoVT Regulon,SpoVT,BSU_00560,repression,sspE,BSU_08660
SpoVT Regulon,SpoVT,BSU_00560,repression,ykoS,BSU_13380
SpoVT Regulon,SpoVT,BSU_00560,activation,spoVAD,BSU_23410
SpoVT Regulon,SpoVT,BSU_00560,activation,sspB,BSU_09750
SpoVT Regulon,SpoVT,BSU_00560,repression,gerAB,BSU_33060
SpoVT Regulon,SpoVT,BSU_00560,activation,spoIVB,BSU_24230
SpoVT Regulon,SpoVT,BSU_00560,repression,gerKB,BSU_03720
SpoVT Regulon,SpoVT,BSU_00560,activation,spoVAA,BSU_23440
SpoVT Regulon,SpoVT,BSU_00560,activation,ligD,BSU_13400
SpoVT Regulon,SpoVT,BSU_00560,activation,spoVAB,BSU_23430
SpoVT Regulon,SpoVT,BSU_00560,activation,spoVAEB,BSU_23402
SpoVT Regulon,SpoVT,BSU_00560,repression,fabL,BSU_08650
SpoVT Regulon,SpoVT,BSU_00560,activation,spoVAEA,BSU_23401
SpoVT Regulon,SpoVT,BSU_00560,repression,gerAA,BSU_33050
SpoVT Regulon,SpoVT,BSU_00560,activation,ykoV,BSU_13410
SpoVT Regulon,SpoVT,BSU_00560,repression,gerKC,BSU_03710
SpoVT Regulon,SpoVT,BSU_00560,repression,yqjC,BSU_23930
SpoVT Regulon,SpoVT,BSU_00560,activation,spoVAF,BSU_23390
SpoVT Regulon,SpoVT,BSU_00560,repression,gpr,BSU_25540
SpoVT Regulon,SpoVT,BSU_00560,repression,ybxH,BSU_02080
SpoVT Regulon,SpoVT,BSU_00560,repression,csgA,BSU_02070
SpoVT Regulon,SpoVT,BSU_00560,activation,spoVAC,BSU_23420
SpoVT Regulon,SpoVT,BSU_00560,repression,ylzJ,BSU_16799
SpoVT Regulon,SpoVT,BSU_00560,repression,tepA,BSU_16790
SpoVT Regulon,SpoVT,BSU_00560,repression,yqjB,BSU_23940
SpoVT Regulon,SpoVT,BSU_00560,activation,sspD,BSU_13470
SpoVT Regulon,SpoVT,BSU_00560,repression,gerKA,BSU_03700
SigM Regulon,SigM,BSU_09520,sigma factor,divIC,BSU_00620
SigM Regulon,SigM,BSU_09520,sigma factor,murG,BSU_15220
SigM Regulon,SigM,BSU_09520,sigma factor,pbpX,BSU_16950
SigM Regulon,SigM,BSU_09520,sigma factor,dltD,BSU_38530
SigM Regulon,SigM,BSU_09520,sigma factor,metA,BSU_21910
SigM Regulon,SigM,BSU_09520,sigma factor,ywzH,BSU_38499
SigM Regulon,SigM,BSU_09520,sigma factor,dltC,BSU_38520
SigM Regulon,SigM,BSU_09520,sigma factor,spx,BSU_11500
SigM Regulon,SigM,BSU_09520,sigma factor,mreB,BSU_28030
SigM Regulon,SigM,BSU_09520,sigma factor,yfnI,BSU_07260
SigM Regulon,SigM,BSU_09520,sigma factor,ylxW,BSU_15250
SigM Regulon,SigM,BSU_09520,sigma factor,yngB,BSU_18180
SigM Regulon,SigM,BSU_09520,sigma factor,yacC,BSU_00710
SigM Regulon,SigM,BSU_09520,sigma factor,dltB,BSU_38510
SigM Regulon,SigM,BSU_09520,sigma factor,ywbO,BSU_38250
SigM Regulon,SigM,BSU_09520,sigma factor,ytpB,BSU_30500
SigM Regulon,SigM,BSU_09520,sigma factor,bcrC,BSU_36530
SigM Regulon,SigM,BSU_09520,sigma factor,ugtP,BSU_21920
SigM Regulon,SigM,BSU_09520,sigma factor,yacC,BSU_00710
SigM Regulon,SigM,BSU_09520,sigma factor,yabN,BSU_00580
SigM Regulon,SigM,BSU_09520,sigma factor,ytpB,BSU_30500
SigM Regulon,SigM,BSU_09520,sigma factor,sasA,BSU_38480
SigM Regulon,SigM,BSU_09520,sigma factor,ugtP,BSU_21920
SigM Regulon,SigM,BSU_09520,sigma factor,dltA,BSU_38500
SigM Regulon,SigM,BSU_09520,sigma factor,efeO,BSU_38270
SigM Regulon,SigM,BSU_09520,sigma factor,yacD,BSU_00720
SigM Regulon,SigM,BSU_09520,sigma factor,secDF,BSU_27650
SigM Regulon,SigM,BSU_09520,sigma factor,spx,BSU_11500
SigM Regulon,SigM,BSU_09520,sigma factor,abh,BSU_14480
SigM Regulon,SigM,BSU_09520,sigma factor,amj,BSU_04230
SigM Regulon,SigM,BSU_09520,sigma factor,minC,BSU_28000
SigM Regulon,SigM,BSU_09520,sigma factor,rapD,BSU_36380
SigM Regulon,SigM,BSU_09520,sigma factor,ytpA,BSU_30510
SigM Regulon,SigM,BSU_09520,sigma factor,yceD,BSU_02900
SigM Regulon,SigM,BSU_09520,sigma factor,ispD,BSU_00900
SigM Regulon,SigM,BSU_09520,sigma factor,yrhH,BSU_27180
SigM Regulon,SigM,BSU_09520,sigma factor,tilS,BSU_00670
SigM Regulon,SigM,BSU_09520,sigma factor,yacL,BSU_00890
SigM Regulon,SigM,BSU_09520,sigma factor,yceE,BSU_02910
SigM Regulon,SigM,BSU_09520,sigma factor,ftsH,BSU_00690
SigM Regulon,SigM,BSU_09520,sigma factor,minD,BSU_27990
SigM Regulon,SigM,BSU_09520,sigma factor,yngC,BSU_18190
