,Name,locus_tag,headon,gene_lookup
0,dnaA,BSU00010,0,0
1,dnaN,BSU00020,0,1
2,yaaA,BSU00030,0,2
3,recF,BSU00040,0,3
4,yaaB,BSU00050,0,4
5,gyrB,BSU00060,0,5
6,gyrA,BSU00070,0,6
7,yaaC,BSU00080,1,7
8,guaB,BSU00090,0,8
9,dacA,BSU00100,0,9
10,pdxS,BSU00110,0,10
11,pdxT,BSU00120,0,11
12,,BSU_misc_RNA_1,0,4230
13,serS,BSU00130,0,12
14,dck,BSU00140,1,13
15,dgk,BSU00150,1,14
16,yaaH,BSU00160,1,15
17,yaaI,BSU00170,1,16
18,tadA,BSU00180,0,17
19,scr,BSU_misc_RNA_2,0,4241
20,dnaX,BSU00190,0,18
21,yaaK,BSU00200,0,19
22,recR,BSU00210,0,20
23,yaaL,BSU00220,0,21
24,bofA,BSU00230,0,22
25,csfB,BSU00240,0,23
26,xpaC,BSU00250,0,24
27,yaaN,BSU00260,0,25
28,yaaO,BSU00270,0,26
29,tmk,BSU00280,0,27
30,yaaQ,BSU00290,0,28
31,yaaR,BSU00300,0,29
32,holB,BSU00310,0,30
33,yaaT,BSU00320,0,31
34,yabA,BSU00330,0,32
35,yabB,BSU00340,0,33
36,yazA,BSU00350,0,34
37,yabC,BSU00360,0,35
38,abrB,BSU00370,1,36
39,metS,BSU00380,0,37
40,yabD,BSU00390,0,38
41,yabE,BSU00400,0,39
42,rnmV,BSU00410,0,40
43,ksgA,BSU00420,0,41
44,yabG,BSU00430,0,42
45,veg,BSU00440,0,43
46,sspF,BSU00450,0,44
47,ispE,BSU00460,0,45
48,purR,BSU00470,0,46
49,yabJ,BSU00480,0,47
50,spoVG,BSU00490,0,48
51,gcaD,BSU00500,0,49
52,prs,BSU00510,0,50
53,ctc,BSU00520,0,51
54,pth,BSU00530,0,52
55,yabK,BSU00540,0,53
56,mfd,BSU00550,0,54
57,spoVT,BSU00560,0,55
58,yabM,BSU00570,0,56
59,yabN,BSU00580,0,57
60,yabO,BSU00590,0,58
61,yabP,BSU00600,0,59
62,yabQ,BSU00610,0,60
63,divIC,BSU00620,0,61
64,yabR,BSU00630,0,62
65,spoIIE,BSU00640,0,63
66,yabS,BSU00650,0,64
67,yabT,BSU00660,0,65
68,tilS,BSU00670,0,66
69,hprT,BSU00680,0,67
70,ftsH,BSU00690,0,68
71,coaX,BSU00700,0,69
72,hslO,BSU00710,0,70
73,yacD,BSU00720,0,71
74,cysK,BSU00730,0,72
75,pabB,BSU00740,0,73
76,pabA,BSU00750,0,74
77,pabC,BSU00760,0,75
78,sul,BSU00770,0,76
79,folB,BSU00780,0,77
80,folK,BSU00790,0,78
81,yazB,BSU00800,0,79
82,dusB,BSU00810,0,80
83,lysS,BSU00820,0,81
84,ctsR,BSU00830,0,82
85,mcsA,BSU00840,0,83
86,mcsB,BSU00850,0,84
87,clpC,BSU00860,0,85
88,radA,BSU00870,0,86
89,disA,BSU00880,0,87
90,yacL,BSU00890,0,88
91,ispD,BSU00900,0,89
92,ispF,BSU00910,0,90
93,gltX,BSU00920,0,91
94,cysE,BSU00930,0,92
95,cysS,BSU00940,0,93
96,mrnC,BSU00950,0,94
97,rlmB,BSU00960,0,95
98,yacP,BSU00970,0,96
99,sigH,BSU00980,0,97
100,rpmGB,BSU00990,0,98
101,secE,BSU01000,0,99
102,nusG,BSU01010,0,100
103,rplK,BSU01020,0,101
104,rplA,BSU01030,0,102
105,,BSU_misc_RNA_3,0,4251
106,rplJ,BSU01040,0,103
107,rplL,BSU01050,0,104
108,ybxB,BSU01060,0,105
109,rpoB,BSU01070,0,106
110,rpoC,BSU01080,0,107
111,rplGB,BSU01090,0,108
112,rpsL,BSU01100,0,109
113,rpsG,BSU01110,0,110
114,fusA,BSU01120,0,111
115,tufA,BSU01130,0,112
116,ybaC,BSU01140,0,113
117,rpsJ,BSU01150,0,114
118,rplC,BSU01160,0,115
119,rplD,BSU01170,0,116
120,rplW,BSU01180,0,117
121,rplB,BSU01190,0,118
122,rpsS,BSU01200,0,119
123,rplV,BSU01210,0,120
124,rpsC,BSU01220,0,121
125,rplP,BSU01230,0,122
126,rpmC,BSU01240,0,123
127,rpsQ,BSU01250,0,124
128,rplNA,BSU01260,0,125
129,rplX,BSU01270,0,126
130,rplE,BSU01280,0,127
131,rpsNA,BSU01290,0,128
132,rpsH,BSU01300,0,129
133,rplF,BSU01310,0,130
134,rplR,BSU01320,0,131
135,rpsE,BSU01330,0,132
136,rpmD,BSU01340,0,133
137,rplO,BSU01350,0,134
138,secY,BSU01360,0,135
139,adk,BSU01370,0,136
140,mapA,BSU01380,0,137
141,ybzG,BSU01389,0,138
142,infA,BSU01390,0,139
143,rpmJ,BSU01400,0,140
144,rpsM,BSU01410,0,141
145,rpsK,BSU01420,0,142
146,rpoA,BSU01430,0,143
147,rplQ,BSU01440,0,144
148,ybxA,BSU01450,0,145
149,ybaE,BSU01460,0,146
150,ybaF,BSU01470,0,147
151,truA,BSU01480,0,148
152,rplM,BSU01490,0,149
153,rpsI,BSU01500,0,150
154,ybaJ,BSU01510,0,151
155,ybaK,BSU01520,0,152
156,cwlD,BSU01530,0,153
157,salA,BSU01540,0,154
158,gerD,BSU01550,1,155
159,kbaA,BSU01560,0,156
160,ybaN,BSU01570,1,157
161,trnI-Thr,BSU_tRNA_24,0,4282
162,ybaR,BSU01580,0,158
163,ybaS,BSU01590,0,159
164,ybbA,BSU01600,1,160
165,feuC,BSU01610,1,161
166,feuB,BSU01620,1,162
167,feuA,BSU01630,1,163
168,ybbB,BSU01640,1,164
169,ybbC,BSU01650,1,165
170,ybbD,BSU01660,1,166
171,ybbE,BSU01670,1,167
172,ybbF,BSU01680,1,168
173,ybbH,BSU01690,1,169
174,murQ,BSU01700,1,170
175,ybbJ,BSU01710,1,171
176,ybbK,BSU01720,1,172
177,sigW,BSU01730,0,173
178,rsiW,BSU01740,0,174
179,ybbP,BSU01750,0,175
180,ybbR,BSU01760,0,176
181,glmM,BSU01770,0,177
182,glmS,BSU01780,0,178
183,alkA,BSU01800,1,179
184,adaA,BSU01810,0,180
185,adaB,BSU01820,0,181
186,ndhF,BSU01830,0,182
187,ybcC,BSU01845,0,183
188,ybcF,BSU01860,0,184
189,ybcH,BSU01870,0,185
190,ybcI,BSU01880,0,186
191,ybzH,BSU01889,0,187
192,ybcL,BSU01890,0,188
193,ybcM,BSU01900,0,189
194,skfA,BSU01910,0,190
195,skfB,BSU01920,0,191
196,skfC,BSU01935,0,192
197,skfE,BSU01950,0,193
198,skfF,BSU01960,0,194
199,skfG,BSU01970,0,195
200,skfH,BSU01980,0,196
201,ybdG,BSU01990,0,197
202,ybdJ,BSU02000,0,198
203,ybdK,BSU02010,0,199
204,ybzI,BSU02019,0,200
205,ybdM,BSU02030,1,201
206,ybdN,BSU02040,1,202
207,ybdO,BSU02050,0,203
208,ybxG,BSU02060,0,204
209,csgA,BSU02070,0,205
210,ybxH,BSU02080,0,206
211,ybxI,BSU02090,1,207
212,cypC,BSU02100,0,208
213,ybyB,BSU02110,1,209
214,ybeC,BSU02120,0,210
215,glpQ,BSU02130,1,211
216,glpT,BSU02140,1,212
217,ybeF,BSU02150,0,213
218,ybfA,BSU02160,0,214
219,ybfB,BSU02170,0,215
220,ybfE,BSU02180,1,216
221,ybfF,BSU02190,1,217
222,ybfG,BSU02200,1,218
223,ybfH,BSU02210,1,219
224,ybfI,BSU02220,1,220
225,purT,BSU02230,0,221
226,mpr,BSU02240,0,222
227,ybfJ,BSU02250,0,223
228,ybfK,BSU02260,0,224
229,pssA,BSU02270,0,225
230,ybfM,BSU02280,0,226
231,psd,BSU02290,0,227
232,ybfN,BSU02300,0,228
233,ybfO,BSU02310,0,229
234,ybfP,BSU02320,0,230
235,ybfQ,BSU02330,0,231
236,gltP,BSU02340,1,232
237,nagP,BSU02350,1,233
238,nagBB,BSU02360,1,234
239,ybgA,BSU02370,0,235
240,ybgB,BSU02380,0,236
241,ilvE,BSU02390,0,237
242,ybgF,BSU02400,1,238
243,ybgG,BSU02410,1,239
244,glnT,BSU02420,1,240
245,glsA,BSU02430,1,241
246,glnJ,BSU02440,0,242
247,glnL,BSU02450,0,243
248,ycbC,BSU02460,0,244
249,ycbD,BSU02470,0,245
250,gudP,BSU02480,0,246
251,gudD,BSU02490,0,247
252,ycbG,BSU02500,0,248
253,garD,BSU02510,0,249
254,ycbJ,BSU02520,0,250
255,,BSU_misc_RNA_6,0,4276
256,rtpA,BSU02530,0,251
257,ycbK,BSU02540,0,252
258,ycbL,BSU02550,0,253
259,ycbM,BSU02560,0,254
260,ycbN,BSU02570,0,255
261,ycbO,BSU02580,0,256
262,ycbP,BSU02590,1,257
263,cwlJ,BSU02600,0,258
264,ycbR,BSU02610,0,259
265,yczK,BSU02619,0,260
266,phoD,BSU02620,0,261
267,tatAD,BSU02630,0,262
268,tatCD,BSU02640,0,263
269,pcp,BSU02650,1,264
270,ycbU,BSU02660,0,265
271,lmrB,BSU02670,1,266
272,lmrA,BSU02680,1,267
273,ansZ,BSU02690,0,268
274,estA,BSU02700,0,269
275,yczC,BSU02710,1,270
276,yccF,BSU02720,0,271
277,natK,BSU02730,1,272
278,natR,BSU02740,1,273
279,natA,BSU02750,0,274
280,natB,BSU02760,0,275
281,yccK,BSU02770,0,276
282,ycdA,BSU02780,1,277
283,ycdB,BSU02790,0,278
284,ycdC,BSU02800,0,279
285,cwlK,BSU02810,1,280
286,rapJ,BSU02820,0,281
287,ycdF,BSU02830,0,282
288,ycdG,BSU02840,0,283
289,adcA,BSU02850,0,284
290,adcC,BSU02860,0,285
291,adcB,BSU02870,0,286
292,yceB,BSU02880,1,287
293,yceC,BSU02890,0,288
294,yceD,BSU02900,0,289
295,yceE,BSU02910,0,290
296,yceF,BSU02920,0,291
297,yceG,BSU02930,0,292
298,yceH,BSU02940,0,293
299,yceI,BSU02950,0,294
300,yceJ,BSU02960,1,295
301,yceK,BSU02970,1,296
302,opuAA,BSU02980,0,297
303,opuAB,BSU02990,0,298
304,opuAC,BSU03000,0,299
305,amhX,BSU03010,1,300
306,ycgA,BSU03020,0,301
307,ycgB,BSU03030,0,302
308,amyE,BSU03040,0,303
309,ldh,BSU03050,0,304
310,lctP,BSU03060,0,305
311,mdr,BSU03070,1,306
312,ycgE,BSU03080,0,307
313,ycgF,BSU03090,0,308
314,ycgG,BSU03100,0,309
315,ycgH,BSU03110,1,310
316,ycgI,BSU03120,0,311
317,nadE,BSU03130,0,312
318,tmrB,BSU03140,1,313
319,aroK,BSU03150,0,314
320,ycgJ,BSU03160,1,315
321,ycgK,BSU03170,0,316
322,cah,BSU03180,0,317
323,ycgL,BSU03190,0,318
324,ycgM,BSU03200,0,319
325,ycgN,BSU03210,0,320
326,ycgO,BSU03220,0,321
327,ycgP,BSU03230,0,322
328,ycgQ,BSU03240,1,323
329,ycgR,BSU03250,1,324
330,ycgS,BSU03260,1,325
331,ycgT,BSU03270,0,326
332,nasF,BSU03280,1,327
333,nasE,BSU03290,1,328
334,nasD,BSU03300,1,329
335,nasC,BSU03310,1,330
336,nasB,BSU03320,1,331
337,nasA,BSU03330,0,332
338,folEB,BSU03340,0,333
339,yciB,BSU03350,0,334
340,yczL,BSU03359,0,335
341,yciC,BSU03360,0,336
342,yckA,BSU03370,1,337
343,yckB,BSU03380,1,338
344,yckC,BSU03390,0,339
345,yckD,BSU03400,0,340
346,bglC,BSU03410,0,341
347,nin,BSU03420,1,342
348,nucA,BSU03430,1,343
349,tlpC,BSU03440,1,344
350,hxlB,BSU03450,1,345
351,hxlA,BSU03460,1,346
352,hxlR,BSU03470,0,347
353,srfAA,BSU03480,0,348
354,srfAB,BSU03490,0,349
355,comS,BSU03500,0,350
356,srfAC,BSU03510,0,351
357,srfAD,BSU03520,0,352
358,ycxA,BSU03530,0,353
359,ycxB,BSU03540,1,354
360,ycxC,BSU03550,1,355
361,ycxD,BSU03560,0,356
362,sfp,BSU03569,1,357
363,sfp,BSU03570,1,358
364,yczE,BSU03580,1,359
365,tcyC,BSU03590,1,360
366,tcyB,BSU03600,1,361
367,tcyA,BSU03610,1,362
368,yclA,BSU03620,1,363
369,ubiX,BSU03630,0,364
370,ubiD,BSU03640,0,365
371,bsdD,BSU03651,0,366
372,yclD,BSU03652,0,367
373,yclE,BSU03660,0,368
374,dtpT,BSU03670,1,369
375,yclG,BSU03680,0,370
376,yczF,BSU03690,1,371
377,gerKA,BSU03700,0,372
378,gerKC,BSU03710,0,373
379,gerKB,BSU03720,0,374
380,yclH,BSU03730,1,375
381,yclI,BSU03740,1,376
382,yclJ,BSU03750,0,377
383,yclK,BSU03760,0,378
384,rapC,BSU03770,0,379
385,phrC,BSU03780,0,380
386,yczM,BSU03788,1,381
387,yczN,BSU03789,1,382
388,yclM,BSU03790,1,383
389,yclN,BSU03800,0,384
390,yclO,BSU03810,0,385
391,yclP,BSU03820,0,386
392,yclQ,BSU03830,0,387
393,ycnB,BSU03840,1,388
394,ycnC,BSU03850,1,389
395,ycnD,BSU03860,1,390
396,ycnE,BSU03870,1,391
397,yczG,BSU03880,0,392
398,gabR,BSU03890,1,393
399,gabT,BSU03900,0,394
400,gabD,BSU03910,0,395
401,glcU,BSU03920,0,396
402,gdh,BSU03930,0,397
403,ycnI,BSU03940,1,398
404,ycnJ,BSU03950,1,399
405,ycnK,BSU03960,1,400
406,ycnL,BSU03970,0,401
407,mtlA,BSU03981,0,402
408,mtlF,BSU03982,0,403
409,mtlD,BSU03990,0,404
410,ycsA,BSU04000,0,405
411,sipU,BSU04010,0,406
412,yczH,BSU04020,1,407
413,ycsD,BSU04030,0,408
414,yczO,BSU04039,1,409
415,ycsE,BSU04040,0,410
416,ycsF,BSU04050,0,411
417,ycsG,BSU04060,0,412
418,ycsI,BSU04070,0,413
419,kipI,BSU04080,0,414
420,kipA,BSU04090,0,415
421,kipR,BSU04100,0,416
422,lipC,BSU04110,0,417
423,yczI,BSU04120,0,418
424,yczJ,BSU04130,1,419
425,pbpC,BSU04140,0,420
426,ycsN,BSU04150,0,421
427,mtlR,BSU04160,0,422
428,ydaB,BSU04170,0,423
429,ydaC,BSU04180,1,424
430,ydaD,BSU04190,0,425
431,ydaE,BSU04200,0,426
432,ydaF,BSU04210,0,427
433,ydaG,BSU04220,0,428
434,ydaH,BSU04230,0,429
435,ydzA,BSU04240,1,430
436,lrpC,BSU04250,0,431
437,topB,BSU04260,0,432
438,ydaJ,BSU04270,0,433
439,ydaK,BSU04280,0,434
440,ydaL,BSU04290,0,435
441,ydaM,BSU04300,0,436
442,ydaN,BSU04310,0,437
443,,BSU_misc_RNA_7,0,4279
444,ydaO,BSU04320,0,438
445,mutT,BSU04330,0,439
446,ydaP,BSU04340,0,440
447,ydzK,BSU04359,1,441
448,mntH,BSU04360,1,442
449,ydaS,BSU04370,1,443
450,ydaT,BSU04380,1,444
451,ydbA,BSU04390,0,445
452,gsiB,BSU04400,0,446
453,ydbB,BSU04410,0,447
454,ydbC,BSU04420,0,448
455,ydbD,BSU04430,1,449
456,dctB,BSU04440,1,450
457,dctS,BSU04450,0,451
458,dctR,BSU04460,0,452
459,dctP,BSU04470,0,453
460,ydbI,BSU04480,0,454
461,ydbJ,BSU04490,0,455
462,ydbK,BSU04500,0,456
463,ydbL,BSU04510,0,457
464,ydbM,BSU04520,0,458
465,ydbN,BSU04530,1,459
466,ydbO,BSU04540,0,460
467,ydbP,BSU04550,1,461
468,ddl,BSU04560,0,462
469,murF,BSU04570,0,463
470,cshA,BSU04580,0,464
471,ydbS,BSU04590,0,465
472,ydbT,BSU04600,0,466
473,ydcA,BSU04610,1,467
474,acpS,BSU04620,0,468
475,ydcC,BSU04630,0,469
476,alrA,BSU04640,0,470
477,endB,BSU04650,0,471
478,ndoA,BSU04660,0,472
479,rsbRA,BSU04670,0,473
480,rsbS,BSU04680,0,474
481,rsbT,BSU04690,0,475
482,rsbU,BSU04700,0,476
483,rsbV,BSU04710,0,477
484,rsbW,BSU04720,0,478
485,sigB,BSU04730,0,479
486,rsbX,BSU04740,0,480
487,ydcF,BSU04750,0,481
488,ydcG,BSU04760,0,482
489,ydcH,BSU04770,0,483
490,ydcI,BSU04780,0,484
491,ydcK,BSU04790,0,485
492,trnS-Leu2,BSU_tRNA_51,0,4287
493,ydcL,BSU04800,1,486
494,immA,BSU04810,1,487
495,immR,BSU04820,1,488
496,sacV,BSU04830,0,489
497,ydzL,BSU04839,0,490
498,ydcO,BSU04840,0,491
499,ydcP,BSU04850,0,492
500,ydcQ,BSU04860,0,493
501,ydcR,BSU04870,0,494
502,ydcS,BSU04880,0,495
503,ydcT,BSU04890,0,496
504,yddA,BSU04900,0,497
505,yddB,BSU04910,0,498
506,yddC,BSU04920,0,499
507,yddD,BSU04930,0,500
508,yddE,BSU04940,0,501
509,yddF,BSU04950,0,502
510,yddG,BSU04960,0,503
511,yddH,BSU04970,0,504
512,yddI,BSU04980,0,505
513,yddJ,BSU04990,0,506
514,yddK,BSU05000,1,507
515,rapI,BSU05010,0,508
516,phrI,BSU05020,0,509
517,yddM,BSU05030,0,510
518,yddN,BSU05040,1,511
519,lrpA,BSU05050,0,512
520,lrpB,BSU05060,1,513
521,yddQ,BSU05070,0,514
522,yddR,BSU05080,0,515
523,yddS,BSU05090,0,516
524,ydzN,BSU05109,0,517
525,ydeA,BSU05110,0,518
526,cspC,BSU05120,0,519
527,ydeB,BSU05130,1,520
528,ydzE,BSU05140,1,521
529,ydeC,BSU05150,1,522
530,ydeD,BSU05160,0,523
531,ydeE,BSU05170,1,524
532,ydeF,BSU05180,0,525
533,ydeG,BSU05190,0,526
534,ydeH,BSU05200,0,527
535,ydeI,BSU05210,0,528
536,ydeJ,BSU05220,1,529
537,ydeK,BSU05230,1,530
538,ydeL,BSU05240,0,531
539,ydeM,BSU05250,0,532
540,ydeN,BSU05260,1,533
541,ydzF,BSU05270,1,534
542,ydeO,BSU05280,0,535
543,ydeP,BSU05290,1,536
544,ydeQ,BSU05300,0,537
545,ydeR,BSU05310,1,538
546,ydeS,BSU05320,0,539
547,ydzO,BSU05329,0,540
548,aseR,BSU05330,0,541
549,ydfA,BSU05340,0,542
550,ydzS,BSU05343,0,543
551,ydzS,BSU05344,0,544
552,ydfB,BSU05350,0,545
553,ydfC,BSU05360,1,546
554,ydfD,BSU05370,0,547
555,ydfE,BSU05380,1,548
556,ydfF,BSU05390,0,549
557,ydfG,BSU05400,1,550
558,ydzP,BSU05408,1,551
559,ydzQ,BSU05409,1,552
560,ydfH,BSU05410,0,553
561,ydfI,BSU05420,0,554
562,ydfJ,BSU05430,0,555
563,nap,BSU05440,1,556
564,ydfK,BSU05450,1,557
565,ydfL,BSU05460,1,558
566,ydfM,BSU05470,1,559
567,ydfN,BSU05480,0,560
568,ydfO,BSU05490,0,561
569,ydfP,BSU05500,0,562
570,ydfQ,BSU05510,0,563
571,ydzH,BSU05520,1,564
572,ydzR,BSU05529,1,565
573,ydfR,BSU05530,1,566
574,ydfS,BSU05540,0,567
575,cotP,BSU05550,1,568
576,ydgA,BSU05560,1,569
577,ydgB,BSU05570,1,570
578,ydgC,BSU05580,0,571
579,ydgD,BSU05590,0,572
580,ydgE,BSU05600,0,573
581,vmlR,BSU05610,1,574
582,ydgF,BSU05620,1,575
583,dinB,BSU05630,1,576
584,ydgG,BSU05640,0,577
585,ydgH,BSU05650,0,578
586,ydgI,BSU05660,1,579
587,ydgJ,BSU05670,1,580
588,ydgK,BSU05680,0,581
589,ydhB,BSU05690,1,582
590,ydhC,BSU05700,0,583
591,ydhD,BSU05710,0,584
592,ydhE,BSU05720,0,585
593,ydhF,BSU05730,1,586
594,phoB,BSU05740,1,587
595,ydhG,BSU05750,0,588
596,ydhH,BSU05760,1,589
597,ydhI,BSU05770,1,590
598,ydhJ,BSU05780,0,591
599,ydhK,BSU05790,0,592
600,pbuE,BSU05800,1,593
601,,BSU_misc_RNA_8,1,4280
602,gmuB,BSU05810,0,594
603,gmuA,BSU05820,0,595
604,gmuC,BSU05830,0,596
605,gmuD,BSU05840,0,597
606,gmuR,BSU05850,0,598
607,gmuE,BSU05860,0,599
608,gmuF,BSU05870,0,600
609,gmuG,BSU05880,0,601
610,ydhU,BSU05890,1,602
611,ydhU,BSU05899,1,603
612,thiL,BSU05900,0,604
613,ydiB,BSU05910,0,605
614,ydiC,BSU05920,0,606
615,rimI,BSU05930,0,607
616,gcp,BSU05940,0,608
617,ydiF,BSU05950,1,609
618,moaC,BSU05960,0,610
619,rex,BSU05970,0,611
620,tatAY,BSU05980,0,612
621,tatCY,BSU05990,0,613
622,ydiK,BSU06000,1,614
623,ydiL,BSU06010,1,615
624,groES,BSU06020,0,616
625,groEL,BSU06030,0,617
626,ydzT,BSU06033,1,618
627,ydzT,BSU06034,1,619
628,ydzT,BSU06036,1,620
629,ydzT,BSU06037,1,621
630,ydzT,BSU06038,1,622
631,ydiM,BSU06040,0,623
632,ydzU,BSU06048,0,624
633,ydzV,BSU06049,0,625
634,ydiO,BSU06060,0,626
635,ydiP,BSU06070,0,627
636,ydzW,BSU06073,1,628
637,ydzW,BSU06074,1,629
638,ydzW,BSU06076,1,630
639,ydzW,BSU06077,1,631
640,ydzW,BSU06078,1,632
641,ydzW,BSU06079,1,633
642,ydzW,BSU06083,1,634
643,ydiR,BSU06090,0,635
644,ydiS,BSU06100,0,636
645,ydjA,BSU06110,0,637
646,ydjB,BSU06120,0,638
647,ydjC,BSU06130,0,639
648,gutR,BSU06140,1,640
649,gutB,BSU06150,0,641
650,gutP,BSU06160,0,642
651,ydjE,BSU06170,0,643
652,pspA,BSU06180,0,644
653,ydjG,BSU06190,0,645
654,ydjH,BSU06200,0,646
655,ydjI,BSU06210,0,647
656,ydjJ,BSU06220,1,648
657,iolT,BSU06230,0,649
658,bdhA,BSU06240,1,650
659,ydjM,BSU06250,0,651
660,ydjN,BSU06260,0,652
661,ydzJ,BSU06269,1,653
662,ydjO,BSU06270,1,654
663,ydjP,BSU06280,1,655
664,yeaA,BSU06290,1,656
665,cotA,BSU06300,1,657
666,gabP,BSU06310,1,658
667,ydzX,BSU06319,1,659
668,yeaB,BSU06320,0,660
669,yeaC,BSU06330,0,661
670,yeaD,BSU06340,0,662
671,yebA,BSU06350,0,663
672,guaA,BSU06360,0,664
673,,BSU_misc_RNA_9,0,4281
674,pbuG,BSU06370,0,665
675,yebC,BSU06380,0,666
676,yebD,BSU06390,0,667
677,yebE,BSU06400,0,668
678,yebG,BSU06410,0,669
679,,BSU_misc_RNA_10,0,4231
680,purE,BSU06420,0,670
681,purK,BSU06430,0,671
682,purB,BSU06440,0,672
683,purC,BSU06450,0,673
684,purS,BSU06460,0,674
685,purQ,BSU06470,0,675
686,purL,BSU06480,0,676
687,purF,BSU06490,0,677
688,purM,BSU06500,0,678
689,purN,BSU06510,0,679
690,purH,BSU06520,0,680
691,purD,BSU06530,0,681
692,yezC,BSU06540,1,682
693,yecA,BSU06550,0,683
694,yezF,BSU06559,1,684
695,yerA,BSU06560,0,685
696,yerB,BSU06570,0,686
697,yerC,BSU06580,0,687
698,yerD,BSU06590,1,688
